index,englisch,link_wikipedia,text,midi,link_midi,flagge,0,1
Afghanistan,Afghanistan,https://de.wikipedia.org/wiki/Milli_Tharana,Afghanistan.txt,afghanistan.mid,https://www.midiworld.com/download/4056,afghanistan_flag.png,Afghanistan,100.0
Ägypten,Egypt,"https://de.wikipedia.org/wiki/Biladi,_Biladi,_Biladi",Ägypten.txt,egypt.mid,,egypt_flag.png,Egypt,100.0
Albanien,Albania,https://de.wikipedia.org/wiki/Himni_i_Flamurit,Albanien.txt,albania.mid,https://www.midiworld.com/download/4057,nan_flag.png,Albania,100.0
Algerien,Algeria,https://de.wikipedia.org/wiki/Kassaman,Algerien.txt,algeriea.mid,https://www.midiworld.com/download/4058,algeria_flag.png,Algeriea,93.0
Andorra,Andorra,https://de.wikipedia.org/wiki/El_Gran_Carlemany,Andorra.txt,andorra.mid,https://www.midiworld.com/download/4059,nan_flag.png,Andorra,100.0
Angola,Angola,https://de.wikipedia.org/wiki/Angola_Avante,Angola.txt,angola.mid,https://www.midiworld.com/download/4060,angola_flag.png,Angola,100.0
Antigua und Barbuda,Antigua and Barbuda,"https://de.wikipedia.org/wiki/Fair_Antigua,_We_Salute_Thee",Antigua und Barbuda.txt,antigua.mid,,nan_flag.png,Antigua,90.0
Äquatorialguinea,Equatorial Guinea,https://de.wikipedia.org/wiki/Caminemos_Pisando_la_Senda_de_Nuestra_Inmensa_Felicidad,Äquatorialguinea.txt,equatorial_guinea.mid,,equatorial guinea_flag.png,Equatorial_guinea,94.0
Argentinien,Argentina,https://de.wikipedia.org/wiki/Himno_Nacional_Argentino,Argentinien.txt,argentina.mid,https://www.midiworld.com/download/4061,nan_flag.png,Argentina,100.0
Armenien,Armenia,https://de.wikipedia.org/wiki/Mer_Hajrenik,Armenien.txt,armenia.mid,https://www.midiworld.com/download/4062,armenia_flag.png,Armenia,100.0
Aserbaidschan,Azerbaijan,https://de.wikipedia.org/wiki/Az%C9%99rbaycan_Mar%C5%9F%C4%B1,Aserbaidschan.txt,azerbaijan.mid,,azerbaijan_flag.png,Azerbaijan,100.0
Äthiopien,Ethiopia,https://de.wikipedia.org/wiki/W%C3%A4d%C3%A4fit_G%C3%A4sgeshi_Wudd_Ennate_Ityop%E2%80%99ya,Äthiopien.txt,ethopia.mid,,ethiopia_flag.png,Ethopia,93.0
Australien,Australia,https://de.wikipedia.org/wiki/Advance_Australia_Fair,Australien.txt,australia.mid,https://www.midiworld.com/download/4063,nan_flag.png,Australia,100.0
Bahamas,Bahamas,"https://de.wikipedia.org/wiki/March_On,_Bahamaland",Bahamas.txt,bahamas.mid,https://www.midiworld.com/download/4065,nan_flag.png,Bahamas,100.0
Bahrain,Bahrain,https://de.wikipedia.org/wiki/Bahrainuna,Bahrain.txt,bahrain.mid,https://www.midiworld.com/download/4066,bahrain_flag.png,Bahrain,100.0
Bangladesch,Bangladesh,https://de.wikipedia.org/wiki/Amar_Shonar_Bangla,Bangladesch.txt,bangladesh.mid,https://www.midiworld.com/download/4067,bangladesh_flag.png,Bangladesh,100.0
Barbados,Barbados,https://de.wikipedia.org/wiki/In_Plenty_and_In_Time_of_Need,Barbados.txt,barbados.mid,https://www.midiworld.com/download/4068,nan_flag.png,Barbados,100.0
